                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.85188,                0.71817,                 1.1121,                0.53614,                0.29911,                0.29391,                0.17846,                    nan,                    nan,                    nan,              0.0078022,              0.0078022,              0.0078022
                    113,                0.84037,                0.69468,                 1.1091,                0.43425,                0.37798,                0.33457,                0.19931,                    nan,                    nan,                    nan,              0.0077824,              0.0077824,              0.0077824
                    114,                0.83425,                0.69466,                 1.1191,                0.65748,                0.31498,                0.36859,                0.20889,                    nan,                    nan,                    nan,              0.0077626,              0.0077626,              0.0077626
                    115,                0.88054,                0.70167,                 1.1408,                0.59854,                0.25744,                0.30337,                0.17835,                    nan,                    nan,                    nan,              0.0077428,              0.0077428,              0.0077428
                    116,                0.83055,                0.66359,                 1.1126,                0.47981,                0.29716,                0.32437,                0.20154,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                    117,                0.81381,                0.71981,                 1.0865,                0.48794,                 0.2624,                 0.2772,                0.15763,                    nan,                    nan,                    nan,              0.0077032,              0.0077032,              0.0077032
                    118,                0.87515,                0.69956,                 1.1157,                0.60874,                0.30328,                0.29659,                0.17733,                    nan,                    nan,                    nan,              0.0076834,              0.0076834,              0.0076834
                    119,                0.82998,                0.69149,                 1.1251,                0.68257,                0.33581,                 0.3332,                0.19197,                    nan,                    nan,                    nan,              0.0076636,              0.0076636,              0.0076636
                    120,                0.85418,                0.70229,                 1.1208,                 0.6164,                0.28254,                0.32869,                0.19654,                    nan,                    nan,                    nan,              0.0076438,              0.0076438,              0.0076438
                    121,                 0.8157,                0.66791,                 1.1142,                0.46993,                0.33524,                0.32712,                0.19011,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                    122,                0.83413,                0.67984,                 1.0894,                 0.4815,                0.25546,                0.28841,                0.16816,                    nan,                    nan,                    nan,              0.0076042,              0.0076042,              0.0076042
                    123,                0.83466,                0.73422,                 1.0991,                0.43785,                0.22012,                0.26182,                0.14507,                    nan,                    nan,                    nan,              0.0075844,              0.0075844,              0.0075844
                    124,                0.84496,                0.69746,                 1.1089,                0.60478,                0.33581,                0.36082,                0.18899,                    nan,                    nan,                    nan,              0.0075646,              0.0075646,              0.0075646
                    125,                0.80295,                0.66175,                 1.0702,                0.47003,                0.30931,                0.30662,                0.18797,                    nan,                    nan,                    nan,              0.0075448,              0.0075448,              0.0075448
                    126,                0.79596,                0.65142,                 1.0748,                0.40952,                0.28373,                0.26361,                  0.147,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                    127,                0.82942,                0.66912,                 1.1335,                0.46745,                0.24174,                0.26254,                0.13778,                    nan,                    nan,                    nan,              0.0075052,              0.0075052,              0.0075052
                    128,                0.82494,                0.66171,                 1.1322,                0.54324,                0.34009,                0.34661,                0.17727,                    nan,                    nan,                    nan,              0.0074854,              0.0074854,              0.0074854
                    129,                 0.8087,                0.67908,                 1.0865,                0.53827,                0.41071,                0.40005,                0.22373,                    nan,                    nan,                    nan,              0.0074656,              0.0074656,              0.0074656
                    130,                0.80514,                0.69551,                 1.1097,                0.76563,                0.26334,                0.35015,                0.22287,                    nan,                    nan,                    nan,              0.0074458,              0.0074458,              0.0074458
                    131,                0.79137,                0.64819,                 1.0736,                0.70138,                0.31498,                0.37306,                0.24195,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                    132,                0.78336,                0.61546,                 1.0844,                0.71438,                0.28869,                 0.3525,                0.21398,                    nan,                    nan,                    nan,              0.0074062,              0.0074062,              0.0074062
                    133,                0.75653,                0.61734,                 1.0578,                0.70379,                0.26786,                0.30387,                0.17814,                    nan,                    nan,                    nan,              0.0073864,              0.0073864,              0.0073864
                    134,                0.76999,                0.62198,                 1.0864,                0.59496,                0.29911,                0.33398,                0.18296,                    nan,                    nan,                    nan,              0.0073666,              0.0073666,              0.0073666
                    135,                0.74622,                0.61501,                 1.0545,                0.47275,                0.29464,                0.35176,                0.19157,                    nan,                    nan,                    nan,              0.0073468,              0.0073468,              0.0073468
                    136,                0.77139,                0.64658,                 1.0622,                0.45421,                0.36495,                0.37691,                   0.22,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                    137,                0.82555,                0.66688,                 1.1142,                0.50337,                0.33085,                0.36474,                0.20177,                    nan,                    nan,                    nan,              0.0073072,              0.0073072,              0.0073072
                    138,                0.77461,                0.64638,                 1.0672,                0.55561,                0.30099,                 0.3372,                0.18086,                    nan,                    nan,                    nan,              0.0072874,              0.0072874,              0.0072874
                    139,                0.78733,                0.62845,                 1.0807,                0.57637,                0.27428,                0.32907,                0.20291,                    nan,                    nan,                    nan,              0.0072676,              0.0072676,              0.0072676
                    140,                0.75314,                 0.6144,                 1.0509,                0.59454,                0.26786,                 0.3252,                0.19682,                    nan,                    nan,                    nan,              0.0072478,              0.0072478,              0.0072478
                    141,                0.79838,                 0.6122,                 1.1092,                0.51212,                0.29601,                0.30961,                0.18591,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                    142,                0.77244,                0.62784,                 1.0683,                0.53193,                0.28869,                0.29648,                0.17675,                    nan,                    nan,                    nan,              0.0072082,              0.0072082,              0.0072082
                    143,                0.75585,                0.62548,                 1.0651,                0.77547,                0.25198,                0.35037,                0.20567,                    nan,                    nan,                    nan,              0.0071884,              0.0071884,              0.0071884
                    144,                0.73647,                0.62949,                 1.0496,                0.80041,                0.31424,                0.36912,                0.22898,                    nan,                    nan,                    nan,              0.0071686,              0.0071686,              0.0071686
                    145,                0.78444,                0.60362,                  1.075,                0.61975,                 0.3611,                0.40057,                0.23435,                    nan,                    nan,                    nan,              0.0071488,              0.0071488,              0.0071488
